Budget 2025 KPIs,,,,,,,,,,,,
,,,,,,,,,,,,
Market Spend,184000,184000,184000,215400,215400,215400,256300,256300,256300,257500,257500,257500
CPNU,1.464485674,1.464485674,1.464485674,1.417495244,1.417495244,1.417495244,1.304626348,1.304626348,1.304626348,1.159672467,1.159672467,1.159672467
Signups,125641.3793,125641.3793,125641.3793,151958.1818,151958.1818,151958.1818,196454.717,196454.717,196454.717,222045.4545,222045.4545,222045.4545
Conversion Rate,0.046339884,0.046339884,0.046339884,0.049039808,0.049039808,0.049039808,0.048983875,0.048983875,0.048983875,0.047679973,0.047679973,0.047679973
New Subscribers,5822.206897,5822.206897,5822.206897,7452,7452,7452,9623.113208,9623.113208,9623.113208,10587.12121,10587.12121,10587.12121
Average CAC,31.60313662,31.60313662,31.60313662,28.90499195,28.90499195,28.90499195,26.63379246,26.63379246,26.63379246,24.32200358,24.32200358,24.32200358
Total New Subscriber Sales,334248.2759,334248.2759,334248.2759,431460,431460,431460,556484.434,556484.434,556484.434,609602.2727,609602.2727,609602.2727
Total Renewals,2282.169204,1802.322055,1611.413617,1510.611424,1601.285312,1645.985334,1718.753896,1928.256872,1923.437748,1963.438124,2095.127791,2135.383016
Total Renewals Sales,48640.33685,38689.52488,34717.2495,32584.03112,34455.33014,35521.98963,37061.11572,41360.73078,41062.75648,41922.48817,44396.31275,45099.63868
Total Sales,382888.6127,372937.8007,368965.5254,464044.0311,465915.3301,466981.9896,593545.5497,597845.1647,597547.1904,651524.7609,653998.5855,654701.9114
ARPU (monthly lvl),7.204278111,7.204278111,7.204278111,7.205253623,7.205253623,7.205253623,7.207938541,7.207938541,7.207938541,7.217628205,7.217628205,7.217628205
LTR / CAC,3.289420517,3.301023792,3.301023792,3.599036913,3.599036913,3.599036913,3.864390928,3.864390928,3.864390928,4.164680737,4.164680737,4.164680737
New User ARPU,57.40920613,57.40920613,57.40920613,57.89855072,57.89855072,57.89855072,57.82790059,57.82790059,57.82790059,57.57960644,57.57960644,57.57960644
TICKET VS CAC,1.816566717,1.816566717,1.816566717,2.003064067,2.003064067,2.003064067,2.171222918,2.171222918,2.171222918,2.367387467,2.367387467,2.367387467
Weighted Monthly Churn,0.069301221,0.069057623,0.069057623,0.069261217,0.069261217,0.069261217,0.070032077,0.070032077,0.070032077,0.071254688,0.071254688,0.071254688
LTR / CAC, 3.29 , 3.30 , 3.30 , 3.60 , 3.60 , 3.60 , 3.86 , 3.86 , 3.86 , 4.16 , 4.16 , 4.16 
