Budget 2026 KPIs 2,,,,,,,,,,,,
,,,,,,,,,,,,
Market Spend," $180,000 "," $180,000 "," $180,000 "," $205,712 "," $205,712 "," $205,712 "," $223,600 "," $223,600 "," $223,600 "," $241,488 "," $241,488 "," $241,488 "
CPNU, $1.51 , $1.51 , $1.51 , $1.52 , $1.52 , $1.52 , $1.52 , $1.52 , $1.52 , $1.52 , $1.52 , $1.52 
Signups," 119,400 "," 119,400 "," 119,400 "," 135,163 "," 135,163 "," 135,163 "," 146,917 "," 146,917 "," 146,917 "," 158,670 "," 158,670 "," 158,670 "
Conversion Rate,6.64%,6.64%,6.64%,6.69%,6.69%,6.69%,6.79%,6.79%,6.79%,6.79%,6.79%,6.79%
New Subscribers," 7,923 "," 7,923 "," 7,923 "," 9,043 "," 9,043 "," 9,043 "," 9,976 "," 9,976 "," 9,976 "," 10,774 "," 10,774 "," 10,774 "
Average CAC, $22.72 , $22.72 , $22.72 , $22.75 , $22.75 , $22.75 , $22.41 , $22.41 , $22.41 , $22.41 , $22.41 , $22.41 
Total New Subscriber Sales," $404,994 "," $404,994 "," $404,994 "," $464,678 "," $464,678 "," $464,678 "," $522,192 "," $522,192 "," $522,192 "," $565,755 "," $565,755 "," $565,755 "
Total Renewals," 3,130 "," 3,294 "," 3,230 "," 3,142 "," 3,132 "," 3,160 "," 3,222 "," 3,394 "," 3,561 "," 3,638 "," 3,769 "," 3,868 "
Total Renewals Sales," $86,393 "," $79,391 "," $78,273 "," $71,251 "," $68,153 "," $77,402 "," $85,982 "," $102,735 "," $115,217 "," $104,469 "," $110,493 "," $112,734 "
Total Sales," $491,387 "," $484,385 "," $483,267 "," $535,929 "," $532,831 "," $542,080 "," $608,174 "," $624,927 "," $637,409 "," $670,225 "," $676,248 "," $678,489 "
ARPU (monthly lvl), $5.96 , $5.96 , $5.96 , $5.96 , $5.96 , $5.96 , $6.05 , $6.05 , $6.05 , $6.06 , $6.06 , $6.06 
LTR / CAC, 3.51 , 3.51 , 3.51 , 3.51 , 3.51 , 3.51 , 3.62 , 3.62 , 3.62 , 3.62 , 3.62 , 3.62 
New User ARPU, $51.12 , $51.12 , $51.12 , $51.39 , $51.39 , $51.39 , $52.34 , $52.34 , $52.34 , $52.51 , $52.51 , $52.51 
TICKET VS CAC, $2.25 , $2.25 , $2.25 , $2.26 , $2.26 , $2.26 , $2.34 , $2.34 , $2.34 , $2.34 , $2.34 , $2.34 
Weighted Monthly Churn,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
LTR / CAC,3.505106002,3.505106002,3.505106002,3.508847907,3.508847907,3.508847907,3.615560836,3.615560836,3.615560836,3.624521827,3.624521827,3.624521827
TOTAL MRR,379119.999,394643.6014,415692.4902,444113.7182,471716.0289,510970.0478,551758.8711,591770.4463,628093.2251,652081.5763,687990.1216,721905.8344
