,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total 2026
""
MRR,439178.99,0,0,0,0,0,0,0,0,0,0,0,439178.99
Partnerships,17258.13,0,0,0,0,0,0,0,0,0,0,0,17258.13
Other Revenue,144.96,0,0,0,0,0,0,0,0,0,0,0,144.96
Comissions,-118578.35,0,0,0,0,0,0,0,0,0,0,0,-118578.35
Total Revenue,338003.73,0,0,0,0,0,0,0,0,0,0,0,338003.73
Servers,7196.4,0,0,0,0,0,0,0,0,0,0,0,7196.4
Gross Profit,330807.33,0,0,0,0,0,0,0,0,0,0,0,330807.33
Paid Acquisition (CAC),216357.26,0,0,0,0,0,0,0,0,0,0,0,216357.26
Contribution Profit,114450.07,0,0,0,0,0,0,0,0,0,0,0,114450.07
Total Operating Expenses,135298.44,0,0,0,0,0,0,0,0,0,0,0,135298.44
EBITDA,-20848.36,0,0,0,0,0,0,0,0,0,0,0,-20848.36
Net Income,-78326.92,0,0,0,0,0,0,0,0,0,0,0,-78326.92
Sales & Marketing,44001.98,0,0,0,0,0,0,0,0,0,0,0,44001.98
Research & Development,50126.06,0,0,0,0,0,0,0,0,0,0,0,50126.06
Content (Educational),22311.51,0,0,0,0,0,0,0,0,0,0,0,22311.51
General & Administrative,18858.82,0,0,0,0,0,0,0,0,0,0,0,18858.82
