,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total 2026

Kinedu MRR (Subscriptions),439037.11166068376,456598.5961271111,474862.5399721956,493857.0415710834,513611.3232339268,534155.7761632839,555522.0072098152,577742.8874982079,600852.6029981362,624886.7071180617,649882.1754027843,675877.4624188957,6596886.231374184
Kinedu Subscriptions Off App,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,0
Other Revenue Partnerships,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,84000
Gross Revenue,461037.11166068376,478598.5961271111,496862.5399721956,515857.0415710834,535611.3232339268,556155.7761632839,577522.0072098152,599742.8874982079,622852.6029981362,646886.7071180617,671882.1754027843,697877.4624188957,6680886.231374184
Comissions + Tax and Adjustments,-131711.13349820513,-136979.57883813334,-142458.76199165866,-148157.11247132503,-154083.39697017803,-160246.73284898515,-166656.60216294456,-173322.86624946236,-180255.78089944084,-187466.0121354185,-194964.65262083526,-202763.2387256687,-1979065.8694122557
Net Revenue,329325.97816247866,341619.01728897775,354403.7779805369,367699.9290997584,381527.9262637488,395909.04331429873,410865.40504687064,426420.0212487455,442596.8220986953,459420.69498264324,476917.522781949,495114.223693227,4881820.36196193
Servers/Infrastructure,-8400,-8400,-8400,-8400,-8400,-8400,-8400,-8400,-8400,-8400,-8400,-8400,-100800
Gross Margin,320925.97816247866,333219.01728897775,346003.7779805369,359299.9290997584,373127.9262637488,387509.04331429873,402465.40504687064,418020.0212487455,434196.8220986953,451020.69498264324,468517.522781949,486714.223693227,4781020.36196193
Market Spend (Meta),-180000,-180000,-180000,-205712,-205712,-205712,-223600,-223600,-223600,-241488,-241488,-241488,-2552400
Market Spend (others),-25000,-25000,-25000,-25000,-25000,-25000,-25000,-25000,-25000,-25000,-25000,-25000,-300000
Contribution Margin,124325.97816247866,136619.01728897775,149403.77798053692,136987.9290997584,150815.92626374878,165197.04331429873,162265.40504687064,177820.0212487455,193996.82209869532,192932.69498264324,210429.52278194902,228626.223693227,2029420.36196193
Admon Costs,-152142.25725992958,-152142.25725992958,-152142.25725992958,-152142.25725992958,-152142.25725992958,-152142.25725992958,-152142.25725992958,-152142.25725992958,-152142.25725992958,-152142.25725992958,-152142.25725992958,-152142.25725992958,-1825707.0871191549
Total Operating Expenses,-152142.25725992958,-152142.25725992958,-152142.25725992958,-152142.25725992958,-152142.25725992958,-152142.25725992958,-152142.25725992958,-152142.25725992958,-152142.25725992958,-152142.25725992958,-152142.25725992958,-152142.25725992958,-1825707.0871191549
Operating Profit,-36216.279097450926,-23923.239970951836,-11138.47927939266,-23554.328160171193,-9726.330996180797,4654.7860543691495,1723.1477869410592,17277.763988815947,33454.56483876577,32390.437722713687,49887.26552201947,68083.96643329738,102913.27484277505
NET INCOME,-36216.279097450926,-23923.239970951836,-11138.47927939266,-23554.328160171193,-9726.330996180797,4654.7860543691495,1723.1477869410592,17277.763988815947,33454.56483876577,32390.437722713687,49887.26552201947,68083.96643329738,102913.27484277505
