Monthly P&L,,,,,,,,,,,,,,
In this tab you wil find the individual P&L by each product and region.,,,,,,,,,,,,,,
1. Fill in the  month average exchange rate of CASH FLOW doc,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Monthly,,,,,,,,,,,
,,,1,2,3,4,5,6,7,8,9,10,11,12
,,Exchange Rate,18.5,,,,,,,,,,,
,,,,,,,,,,,,,,
Subscriptions App,,Gross Sales,"$423,731 ",,,,,,,,,,,
Subscriptions Off App,,Gross Sales,"$20,257 ",,,,,,,,,,,
Other Revenue,,Partnerships,$790 ,,,,,,,,,,,
Other Revenue,,Admin ,$431 ,,,,,,,,,,,
Gross Sales,,Gross Sales,"$445,209 ",,,,,,,,,,,
Comissions,,GTN,"($102,028)",,,,,,,,,,,
Servers,,Servers,"($7,489)",,,,,,,,,,,
Gross Margin,,,"$335,692 ",,,,,,,,,,,
Acquisition Spend,,CAC,"($204,844)",,,,,,,,,,,
Contribution Margin,,,"$130,848 ",,,,,,,,,,,
Salaries & Wages,,Sueldos y Salarios,"($136,171)",,,,,,,,,,,
External Services,,Servicios Externos,"($25,489)",,,,,,,,,,,
Travel expenses,,Travel,($342),,,,,,,,,,,
Services,,Servicios,"($8,639)",,,,,,,,,,,
Other,,Otros,"($1,473)",,,,,,,,,,,
Total Costs,,,"($172,113)",,,,,,,,,,,
EBITDA,,,"($41,265)",,,,,,,,,,,
Depreciation,,Depreciacion,$0 ,,,,,,,,,,,
Amortization,,Amortization,$0 ,,,,,,,,,,,
EBIT,,,"($41,265)",,,,,,,,,,,
,,,,,,,,,,,,,,
Investor Revenue Share,,Rev Share,"($51,502)",,,,,,,,,,,
Cash Flow (before taxes),,,"($92,766)",,,,,,,,,,,
,,,,,,,,,,,,,,
Investments,,CAPEX,$0 ,,,,,,,,,,,
Cash Flow,,,"($92,766)",,,,,,,,,,,
