,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total 2026
,,,,,,,,,,,,,
REVENUE,,,,,,,,,,,,,
Kinedu Subscriptions App IOS,412247.5991,387598.9851,387598.9851,484498.7314,429965.5518,429965.5518,537456.9397,502235.2986,502235.2986,627794.1232,542828.5216,542828.5216,5787254.107
Kinedu Subscriptions App aOS,88139.32654,65895.56977,66732.49433,66714.01453,71615.6981,70973.71478,70862.97048,79414.53493,79486.53792,79343.7346,86698.12441,86954.78857,912831.5089
Kinedu Subscriptions Off App,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,180000
Other Revenue Partnerships,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,84000
Gross Revenue,522386.9257,475494.5549,476331.4794,573212.7459,523581.2499,522939.2665,630319.9102,603649.8335,603721.8365,729137.8578,651526.646,651783.3102,6964085.616
Comissions + Tax and Adjustments,-150116.0777,-136048.3665,-136299.4438,-165363.8238,-150474.375,-150281.78,-182495.9731,-174494.9501,-174516.551,-212141.3573,-188857.9938,-188934.993,-2010025.685
Net Revenue,372270.848,339446.1884,340032.0356,407848.9221,373106.8749,372657.4866,447823.9371,429154.8835,429205.2856,516996.5005,462668.6522,462848.3171,4954059.931
NR %,0.712634313,0.713880285,0.713855897,0.71151405,0.712605493,0.712620968,0.710470873,0.710933491,0.710932187,0.709051786,0.710130054,0.710126065,0.711372634
,,,,,,,,,,,,,
COST OF GOODS SOLD,,,,,,,,,,,,,
Servers/Infrastructure,-8400,-8400,-8400,-8400,-8400,-8400,-8400,-8400,-8400,-8400,-8400,-8400,-100800
Gross Margin,363870.848,331046.1884,331632.0356,399448.9221,364706.8749,364257.4866,439423.9371,420754.8835,420805.2856,508596.5005,454268.6522,454448.3171,4853259.931
GM%,0.977435784,0.97525381,0.975296445,0.979404138,0.977486344,0.977459194,0.981242628,0.980426647,0.980428946,0.983752308,0.981844458,0.981851506,0.979653052
,,,,,,,,,,,,,
Market Spend (Meta),-205318,-205318,-180000,-180000,-180000,-205712,-205712,-205712,-223600,-223600,-223600,-241488,-2480060
Market Spend (others),-25000,-25000,-25000,-25000,-25000,-25000,-25000,-25000,-25000,-25000,-25000,-25000,-300000
,,,,,,,,,,,,,
Contribution Margin,141952.848,109128.1884,135032.0356,202848.9221,168106.8749,141945.4866,217111.9371,198442.8835,180605.2856,268396.5005,214068.6522,196360.3171,2173999.931
Contribution Margin%,0.271738899,0.229504602,0.283483333,0.35388069,0.321071228,0.271437805,0.344447214,0.328738405,0.299153144,0.368101173,0.328564693,0.301266255,0.312173062
,,,,,,,,,,,,,
OPERATING EXPENSES,,,,,,,,,,,,,
Admon Costs,-140124.5456,-208246.3859,-144860.0229,-132383.2508,-144882.3565,-128396.4868,-203079.6629,-142310.2048,-147340.8516,-125584.6562,-146979.87,-170738.5347,-1834926.829
Total Operating Expenses,-140124.5456,-208246.3859,-144860.0229,-132383.2508,-144882.3565,-128396.4868,-203079.6629,-142310.2048,-147340.8516,-125584.6562,-146979.87,-170738.5347,-1834926.829
Operating Profit,-6571.697662,-107518.1975,-18227.98735,62065.67134,14824.51845,5148.999742,5632.274196,47732.67863,24864.43396,134411.8443,58688.78222,17221.78241,238273.1027
OP%,-0.012580134,-0.226118672,-0.038267442,0.108276851,0.028313692,0.009846267,0.00893558,0.079073456,0.041185249,0.184343527,0.090078867,0.026422558,0.034214557
Depreciation,,,,,,,,,,,,,
NET INCOME,-6571.697662,-107518.1975,-18227.98735,62065.67134,14824.51845,5148.999742,5632.274196,47732.67863,24864.43396,134411.8443,58688.78222,17221.78241,238273.1027
NI%,-0.012580134,-0.226118672,-0.038267442,0.108276851,0.028313692,0.009846267,0.00893558,0.079073456,0.041185249,0.184343527,0.090078867,0.026422558,0.034214557
