,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total 2026
,,,,,,,,,,,,,
REVENUE,,,,,,,,,,,,,
Kinedu Subscriptions App IOS,412247.5991,481929.1617,481929.1617,602411.4521,570019.699,570019.699,712524.6237,662631.9442,662631.9442,828289.9302,739117.6942,739117.6942,7462870.603
Kinedu Subscriptions App aOS,88139.32654,85467.56977,86727.20753,86953.26731,93336.07279,92859.9579,92845.16849,112898.0871,113469.2091,113615.1462,124927.9683,125499.383,1216738.364
Kinedu Subscriptions Off App,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,180000
Other Revenue Partnerships,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,84000
Gross Revenue,522386.9257,589396.7315,590656.3692,711364.7195,685355.7718,684879.6569,827369.7922,797530.0313,798101.1533,963905.0764,886045.6625,886617.0772,8943608.967
Comissions + Tax and Adjustments,-150116.0777,-170219.0194,-170596.9108,-206809.4158,-199006.7315,-198863.8971,-241610.9377,-232659.0094,-232830.346,-282571.5229,-259213.6987,-259385.1231,-2603882.69
Net Revenue,372270.848,419177.712,420059.4585,504555.3036,486349.0402,486015.7598,585758.8546,564871.0219,565270.8073,681333.5535,626831.9637,627231.954,6339726.277
NR %,0.712634313,0.71119789,0.71117401,0.709277941,0.709630035,0.70963673,0.707977086,0.70827555,0.708269628,0.706847147,0.707448826,0.707444025,0.708855486
,,,,,,,,,,,,,
COST OF GOODS SOLD,,,,,,,,,,,,,
Servers/Infrastructure,-8400,-8400,-8400,-8400,-8400,-8400,-8400,-8400,-8400,-8400,-8400,-8400,-100800
Gross Margin,363870.848,410777.712,411659.4585,496155.3036,477949.0402,477615.7598,577358.8546,556471.0219,556870.8073,672933.5535,618431.9637,618831.954,6238926.277
GM%,0.977435784,0.979960767,0.980002831,0.983351676,0.982728454,0.98271661,0.985659628,0.985129349,0.985139866,0.987671237,0.986599279,0.986607825,0.98410026
,,,,,,,,,,,,,
Market Spend (Meta),-205318,-205318,-200000,-200000,-200000,-225492,-225492,-225492,-245100,-245100,-245100,-264708,-2687120
Market Spend (others),-25000,-25000,-25000,-25000,-25000,-25000,-25000,-25000,-25000,-25000,-25000,-25000,-300000
,,,,,,,,,,,,,
Contribution Margin,141952.848,188859.712,195059.4585,279555.3036,261349.0402,235523.7598,335266.8546,314379.0219,295170.8073,411233.5535,356731.9637,337523.954,3352606.277
Contribution Margin%,0.271738899,0.320428842,0.330241861,0.392984493,0.381333391,0.343890722,0.405220081,0.394190826,0.369841349,0.426632833,0.402611264,0.380687405,0.374860561
,,,,,,,,,,,,,
OPERATING EXPENSES,,,,,,,,,,,,,
Admon Costs,-140124.5456,-208246.3859,-144860.0229,-132383.2508,-144882.3565,-128396.4868,-203079.6629,-142310.2048,-147340.8516,-125584.6562,-146979.87,-170738.5347,-1834926.829
Total Operating Expenses,-140124.5456,-208246.3859,-144860.0229,-132383.2508,-144882.3565,-128396.4868,-203079.6629,-142310.2048,-147340.8516,-125584.6562,-146979.87,-170738.5347,-1834926.829
Operating Profit,-6571.697662,-27786.67387,41799.43553,138772.0528,108066.6838,98727.27298,123787.1916,163668.8171,139429.9557,277248.8973,201352.0938,158385.4193,1416879.448
OP%,-0.012580134,-0.047144262,0.070767772,0.195078627,0.157679687,0.144152731,0.149615314,0.205219629,0.17470211,0.287630913,0.227247988,0.178640163,0.15842368
Depreciation,,,,,,,,,,,,,
NET INCOME,-6571.697662,-27786.67387,41799.43553,138772.0528,108066.6838,98727.27298,123787.1916,163668.8171,139429.9557,277248.8973,201352.0938,158385.4193,1416879.448
NI%,-0.012580134,-0.047144262,0.070767772,0.195078627,0.157679687,0.144152731,0.149615314,0.205219629,0.17470211,0.287630913,0.227247988,0.178640163,0.15842368
