,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total 2026
,,,,,,,,,,,,,
REVENUE,,,,,,,,,,,,,
Kinedu Subscriptions App IOS,412247.5991,269240.4373,269240.4373,336550.5466,290842.5747,290842.5747,363553.2184,337304.1302,337304.1302,421630.1628,364057.5303,364057.5303,4056870.872
Kinedu Subscriptions App aOS,88139.32654,47606.29286,47178.73284,46456.20878,54601.52177,53988.33684,53894.63943,59340.86186,59259.13444,59026.26838,63124.33573,63261.7612,695877.4207
Kinedu Subscriptions Off App,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,180000
Other Revenue Partnerships,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,84000
Gross Revenue,522386.9257,338846.7301,338419.1701,405006.7553,367444.0965,366830.9115,439447.8578,418644.9921,418563.2647,502656.4312,449181.8661,449319.2915,5016748.293
Comissions + Tax and Adjustments,-150116.0777,-95054.01903,-94925.75103,-114902.0266,-103633.2289,-103449.2735,-125234.3573,-118993.4976,-118968.9794,-144196.9293,-128154.5598,-128195.7875,-1425824.488
Net Revenue,372270.848,243792.7111,243493.4191,290104.7287,263810.8675,263381.6381,314213.5005,299651.4945,299594.2853,358459.5018,321027.3062,321123.5041,3590923.805
NR %,0.712634313,0.719477833,0.719502441,0.716296024,0.717961916,0.717991941,0.715018847,0.715765147,0.715768226,0.713130241,0.71469338,0.714688886,0.715787119
,,,,,,,,,,,,,
COST OF GOODS SOLD,,,,,,,,,,,,,
Servers/Infrastructure,-8400,-8400,-8400,-8400,-8400,-8400,-8400,-8400,-8400,-8400,-8400,-8400,-100800
Gross Margin,363870.848,235392.7111,235093.4191,281704.7287,255410.8675,254981.6381,305813.5005,291251.4945,291194.2853,350059.5018,312627.3062,312723.5041,3490123.805
GM%,0.977435784,0.965544499,0.965502148,0.971044939,0.968159007,0.968107116,0.973266585,0.971967435,0.971962082,0.97656639,0.973834002,0.97384184,0.971929229
,,,,,,,,,,,,,
Market Spend (Meta),-205318,-205318,-150000,-150000,-150000,-176042,-176042,-176042,-191350,-191350,-191350,-206658,-2169470
Market Spend (others),-25000,-25000,-25000,-25000,-25000,-25000,-25000,-25000,-25000,-25000,-25000,-25000,-300000
,,,,,,,,,,,,,
Contribution Margin,141952.848,13474.71108,68493.41906,115104.7287,88810.86752,62339.63807,113171.5005,98609.49446,83244.28526,142109.5018,104677.3062,89465.50408,1121453.805
Contribution Margin%,0.271738899,0.03976639,0.202392255,0.284204466,0.241698991,0.169941071,0.257531123,0.235544426,0.198881011,0.282716967,0.23303992,0.199113427,0.223541972
,,,,,,,,,,,,,
OPERATING EXPENSES,,,,,,,,,,,,,
Admon Costs,-140124.5456,-208246.3859,-144860.0229,-132383.2508,-144882.3565,-128396.4868,-203079.6629,-142310.2048,-147340.8516,-125584.6562,-146979.87,-170738.5347,-1834926.829
Total Operating Expenses,-140124.5456,-208246.3859,-144860.0229,-132383.2508,-144882.3565,-128396.4868,-203079.6629,-142310.2048,-147340.8516,-125584.6562,-146979.87,-170738.5347,-1834926.829
Operating Profit,-6571.697662,-203171.6748,-84766.60387,-25678.52203,-64471.48893,-74456.84877,-98308.16248,-52100.71037,-72496.56632,8124.845625,-50702.56372,-89673.03062,-814273.024
OP%,-0.012580134,-0.599597567,-0.250478139,-0.063402701,-0.175459314,-0.202973213,-0.223708367,-0.124450815,-0.173203366,0.016163815,-0.112877584,-0.199575296,-0.162310919
Depreciation,,,,,,,,,,,,,
NET INCOME,-6571.697662,-203171.6748,-84766.60387,-25678.52203,-64471.48893,-74456.84877,-98308.16248,-52100.71037,-72496.56632,8124.845625,-50702.56372,-89673.03062,-814273.024
NI%,-0.012580134,-0.599597567,-0.250478139,-0.063402701,-0.175459314,-0.202973213,-0.223708367,-0.124450815,-0.173203366,0.016163815,-0.112877584,-0.199575296,-0.162310919
